GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LEGO,dbaccess,UserMapper,116,0,2,0,33,0,4,0,3,0
LEGO,dbaccess,Connector,73,0,0,0,19,0,2,0,2,0
LEGO,presentationlayer,Register,50,0,2,0,11,0,3,0,2,0
LEGO,presentationlayer,Login,37,0,0,0,8,0,2,0,2,0
LEGO,presentationlayer,FrontController,52,0,0,0,14,0,5,0,5,0
LEGO,presentationlayer,Command,37,0,2,0,9,0,4,0,3,0
LEGO,presentationlayer,UnknownCommand,10,0,0,0,3,0,2,0,2,0
LEGO,functionlayer,User,40,0,0,0,17,0,9,0,9,0
LEGO,functionlayer,LoginSampleException,4,0,0,0,2,0,1,0,1,0
LEGO,functionlayer,LogicFacade,18,0,0,0,5,0,3,0,3,0
